,duration,src_bytes,dst_bytes,wrong_fragment,urgent,dst_host_count,dst_host_srv_count,count,srv_count,attack_state
400,0,0,0,0,0,255,19,257,19,1
407,0,0,0,0,0,255,2,257,19,1
408,0,0,0,0,0,135,75,13,13,1
410,0,0,0,0,0,255,4,137,9,1
413,0,0,0,0,0,255,14,132,3,1
416,0,0,0,0,0,255,11,290,16,1
417,0,0,0,0,0,255,9,203,2,1
418,0,0,0,0,0,255,9,290,8,1
420,0,0,0,0,0,255,3,116,3,1
421,0,0,0,0,0,255,5,260,6,1
423,0,28,0,3,0,255,21,21,21,1
425,0,1032,0,0,0,255,255,486,486,1
430,0,520,0,0,0,153,153,457,457,1
431,0,0,0,0,0,255,64,47,4,1
439,0,0,0,0,0,255,10,139,10,1
441,0,0,0,0,0,255,6,200,6,1
442,0,0,0,0,0,255,1,140,1,1
445,0,1032,0,0,0,255,200,511,511,1
446,0,28,0,3,0,255,68,68,68,1
447,0,0,0,0,0,255,7,132,7,1
451,0,0,0,0,0,255,18,115,18,1
452,0,0,0,0,0,255,16,35,16,1
453,0,0,0,0,0,255,15,275,15,1
455,0,0,0,0,0,255,13,76,13,1
457,0,0,0,0,0,255,8,202,2,1
458,0,0,0,0,0,255,13,252,14,1
461,0,0,0,0,0,255,58,74,17,1
464,0,0,0,0,0,255,15,116,19,1
465,0,54540,8314,0,0,79,79,2,2,1
466,0,0,0,0,0,255,2,197,2,1
469,0,0,0,0,0,255,4,198,4,1
471,0,0,0,0,0,255,1,102,3,1
473,0,0,0,0,0,255,21,223,21,1
476,0,0,0,0,0,255,6,138,6,1
479,0,0,0,0,0,255,1,154,1,1
480,0,0,0,0,0,255,18,204,18,1
481,0,0,0,0,0,255,4,262,4,1
487,0,0,0,0,0,255,1,253,1,1
489,0,0,0,0,0,255,8,142,15,1
494,0,0,0,0,0,255,20,139,20,1
501,0,0,0,0,0,255,20,196,9,1
515,0,0,0,0,0,255,14,262,7,1
516,0,0,0,0,0,255,17,103,17,1
519,0,0,0,0,0,255,17,221,16,1
521,0,0,0,0,0,255,14,33,14,1
525,0,0,0,0,0,255,14,221,14,1
528,0,0,0,0,0,255,14,284,14,1
530,0,0,0,0,0,255,1,150,16,1
531,0,0,0,0,0,255,9,255,9,1
533,0,0,0,0,0,255,12,26,2,1
535,0,0,0,0,0,255,58,74,20,1
537,0,0,0,0,0,29,141,7,9,1
539,0,0,0,0,0,255,4,235,4,1
540,0,0,0,0,0,255,18,131,20,1
546,0,0,0,0,0,255,2,124,2,1
548,0,0,0,0,0,255,15,34,15,1
552,0,0,0,0,0,255,9,16,3,1
556,0,0,0,0,0,255,7,115,7,1
557,0,0,0,0,0,255,7,130,10,1
558,0,0,0,0,0,255,15,236,15,1
560,0,0,0,0,0,255,16,280,16,1
563,0,0,0,0,0,255,2,268,2,1
564,0,0,0,0,0,255,18,84,18,1
566,0,520,0,0,0,255,255,139,139,1
567,0,0,0,0,0,255,6,211,6,1
570,0,0,0,0,0,255,2,100,2,1
571,0,0,0,0,0,255,13,101,13,1
572,0,0,0,0,0,255,17,265,4,1
576,0,0,0,0,0,255,17,54,17,1
581,0,0,0,0,0,255,20,248,20,1
588,0,0,0,0,0,255,12,251,12,1
591,0,0,0,0,0,255,18,222,18,1
594,0,0,0,0,0,255,4,228,4,1
596,0,0,0,0,0,255,22,129,22,1
598,0,0,0,0,0,255,17,118,9,1
599,0,0,0,0,0,255,1,84,16,1
601,0,0,0,0,0,255,18,115,4,1
605,0,0,0,0,0,155,11,111,10,1
606,0,54540,8314,0,0,68,68,4,4,1
608,0,0,0,0,0,255,12,241,12,1
610,0,0,0,0,0,255,1,242,1,1
614,0,0,0,0,0,255,6,101,6,1
618,0,54540,8314,0,0,214,214,3,3,1
623,0,0,0,0,0,255,11,114,8,1
624,0,0,0,0,0,255,23,136,23,1
625,0,0,0,0,0,255,4,272,4,1
626,0,0,0,0,0,255,9,209,8,1
628,0,0,0,0,0,255,16,110,16,1
633,0,0,0,0,0,255,5,268,5,1
637,0,0,0,0,0,255,11,292,14,1
639,0,0,0,0,0,255,2,2,2,1
644,0,0,0,0,0,255,15,297,15,1
645,0,0,0,0,0,255,1,150,1,1
646,0,0,0,0,0,255,6,198,6,1
647,0,0,0,0,0,212,4,63,4,1
658,0,0,0,0,0,255,9,299,9,1
664,0,0,0,0,0,255,16,234,1,1
665,0,28,0,3,0,255,88,88,88,1
666,0,0,0,0,0,255,17,244,17,1
670,0,0,0,0,0,255,12,237,12,1
672,0,0,0,0,0,255,15,287,15,1
673,0,54540,8314,0,0,4,4,4,4,1
677,0,0,0,0,0,133,73,11,11,1
678,0,0,0,0,0,255,17,73,3,1
686,0,0,0,0,0,255,6,240,6,1
687,0,0,0,0,0,255,13,149,2,1
692,0,0,0,0,0,255,14,92,3,1
695,0,0,0,0,0,255,2,191,2,1
702,0,0,0,0,0,255,5,12,5,1
704,0,28,0,3,0,255,66,99,99,1
705,0,0,0,0,0,255,1,150,20,1
707,0,0,0,0,0,255,16,226,16,1
709,0,0,0,0,0,255,27,122,7,1
711,0,0,0,0,0,255,20,237,8,1
712,0,0,0,0,0,255,3,219,2,1
714,0,0,0,0,0,255,37,148,19,1
717,0,0,0,0,0,255,20,276,20,1
723,0,0,0,0,0,255,17,166,4,1
724,0,0,0,0,0,255,5,197,5,1
731,0,0,0,0,0,255,2,104,2,1
732,0,0,0,0,0,255,20,264,20,1
736,0,0,0,0,0,58,22,254,22,1
737,0,0,0,0,0,255,11,122,11,1
739,0,1032,0,0,0,255,118,511,511,1
740,0,0,0,0,0,255,1,101,1,1
741,0,0,0,0,0,255,15,232,15,1
743,0,0,0,0,0,255,7,131,7,1
747,0,1032,0,0,0,255,67,511,511,1
749,0,0,0,0,0,255,4,126,4,1
750,0,0,0,0,0,255,3,263,3,1
752,0,0,0,0,0,255,12,127,12,1
753,0,0,0,0,0,255,18,194,18,1
754,0,54540,8314,0,0,118,118,2,2,1
756,0,0,0,0,0,255,15,266,15,1
757,0,28,0,3,0,255,27,27,27,1
759,0,0,0,0,0,27,51,25,5,1
760,0,0,0,0,0,255,7,100,7,1
762,0,0,0,0,0,255,10,240,10,1
764,0,0,0,0,0,255,10,287,17,1
765,0,0,0,0,0,255,19,282,19,1
768,0,0,0,0,0,255,18,129,18,1
769,0,0,0,0,0,255,5,244,5,1
770,0,0,0,0,0,255,11,279,11,1
774,0,0,0,0,0,255,17,134,16,1
779,0,0,0,0,0,255,18,269,18,1
786,0,1032,0,0,0,255,219,322,322,1
787,0,0,0,0,0,255,11,31,11,1
789,0,0,0,0,0,255,25,271,25,1
791,0,0,0,0,0,255,12,140,12,1
792,0,0,0,0,0,255,13,180,13,1
793,0,0,0,0,0,255,20,278,20,1
794,0,0,0,0,0,255,4,45,4,1
795,0,0,0,0,0,255,3,6,3,1
797,0,0,0,0,0,255,10,279,10,1
805,0,0,0,0,0,255,17,111,17,1
807,0,0,0,0,0,255,7,145,7,1
809,0,0,0,0,0,255,14,231,9,1
811,0,0,0,0,0,255,2,130,4,1
814,0,0,0,0,0,255,54,23,3,1
818,0,0,0,0,0,255,15,214,16,1
823,0,0,0,0,0,255,2,244,2,1
825,0,0,0,0,0,255,17,257,3,1
833,0,0,0,0,0,255,6,234,6,1
835,0,0,0,0,0,255,2,116,2,1
837,0,0,0,0,0,255,17,106,6,1
843,0,0,0,0,0,255,4,256,4,1
845,0,0,0,0,0,255,5,286,15,1
846,0,0,0,0,0,255,9,233,7,1
848,0,0,0,0,0,255,63,29,15,1
851,0,0,0,0,0,255,9,108,18,1
852,0,0,0,0,0,255,2,102,2,1
854,0,0,0,0,0,255,9,229,9,1
855,0,0,0,0,0,255,4,239,12,1
857,0,1032,0,0,0,243,98,511,511,1
858,0,28,0,3,0,255,18,18,18,1
859,0,0,0,0,0,255,6,258,6,1
862,0,0,0,0,0,255,27,105,5,1
863,0,0,0,0,0,255,21,145,21,1
869,0,0,0,0,0,255,21,123,21,1
870,0,0,0,0,0,255,2,9,2,1
872,0,0,0,0,0,255,10,45,2,1
874,0,0,0,0,0,255,9,265,9,1
875,0,0,0,0,0,255,10,255,7,1
876,0,0,0,0,0,255,10,104,10,1
877,0,0,0,0,0,255,14,150,20,1
880,0,0,0,0,0,255,3,232,3,1
881,0,0,0,0,0,255,2,217,2,1
882,0,0,0,0,0,255,16,66,1,1
892,0,0,0,0,0,255,1,195,1,1
893,0,0,0,0,0,255,13,232,13,1
895,0,1032,0,0,0,255,255,65,65,1
898,0,0,0,0,0,255,1,120,2,1
904,0,0,0,0,0,255,18,262,18,1
906,0,0,0,0,0,255,4,146,16,1
909,0,520,0,0,0,255,255,261,261,1
910,0,0,0,0,0,255,1,242,1,1
911,0,0,0,0,0,255,21,213,21,1
912,0,0,0,0,0,255,51,50,11,1
914,0,0,0,0,0,255,11,170,11,1
915,0,0,0,0,0,255,23,252,23,1
916,0,0,0,0,0,93,8,126,15,1
918,0,0,0,0,0,255,18,269,18,1
922,0,0,0,0,0,223,57,61,15,1
924,0,0,0,0,0,255,3,281,3,1
926,0,0,0,0,0,255,1,240,1,1
927,0,0,0,0,0,255,14,260,8,1
928,0,0,0,0,0,255,3,275,3,1
929,0,0,0,0,0,255,12,116,12,1
930,0,0,0,0,0,255,8,164,7,1
933,0,0,0,0,0,255,3,194,3,1
939,0,0,0,0,0,255,16,121,16,1
940,0,0,0,0,0,24,11,220,11,1
945,0,0,0,0,0,255,62,29,2,1
946,0,0,0,0,0,255,11,229,11,1
947,0,0,0,0,0,255,16,118,16,1
948,0,0,0,0,0,255,9,240,9,1
950,0,0,0,0,0,78,24,18,18,1
955,0,520,0,0,0,30,30,434,434,1
957,0,0,0,0,0,255,15,144,15,1
958,0,0,0,0,0,118,9,258,9,1
964,0,0,0,0,0,255,5,111,5,1
965,0,0,0,0,0,255,22,228,22,1
966,0,0,0,0,0,255,15,282,16,1
972,0,520,0,0,0,255,255,282,282,1
974,0,1032,0,0,0,255,250,250,250,1
983,0,0,0,0,0,255,15,75,6,1
985,0,0,0,0,0,255,7,262,7,1
988,0,0,0,0,0,255,20,206,18,1
990,0,0,0,0,0,255,7,270,7,1
992,0,0,0,0,0,255,6,239,6,1
993,0,0,0,0,0,255,7,229,7,1
996,0,0,0,0,0,255,7,113,7,1
997,0,0,0,0,0,255,5,279,16,1
999,0,0,0,0,0,255,13,233,13,1
1002,0,0,0,0,0,255,19,207,7,1
1003,0,0,0,0,0,137,5,112,5,1
1006,0,0,0,0,0,255,13,210,12,1
1008,0,0,0,0,0,255,17,255,16,1
1009,0,0,0,0,0,255,2,102,2,1
1011,0,0,0,0,0,255,1,4,1,1
1012,0,0,0,0,0,21,3,175,3,1
1014,0,0,0,0,0,255,8,118,13,1
1017,0,0,0,0,0,255,4,206,4,1
1018,0,1032,0,0,0,255,134,134,134,1
1023,0,0,0,0,0,255,9,144,9,1
1026,0,0,0,0,0,255,4,253,18,1
1028,0,0,0,0,0,255,16,247,16,1
1031,0,0,0,0,0,255,17,282,17,1
1033,0,0,0,0,0,255,2,89,17,1
1035,0,0,0,0,0,255,29,144,14,1
1040,0,0,0,0,0,255,3,258,3,1
1041,0,0,0,0,0,255,20,101,18,1
1044,0,0,0,0,0,255,19,284,19,1
1048,0,0,0,0,0,255,18,104,18,1
1050,0,0,0,0,0,255,37,67,17,1
1051,0,0,0,0,0,255,14,291,16,1
1053,0,0,0,0,0,255,3,114,15,1
1054,0,0,0,0,0,255,4,116,2,1
1058,0,0,0,0,0,255,12,9,5,1
1061,0,0,0,0,0,255,15,235,15,1
1064,0,0,0,0,0,255,25,179,25,1
1066,0,0,0,0,0,255,6,272,6,1
1069,0,0,0,0,0,255,11,248,11,1
1070,0,0,0,0,0,255,9,9,9,1
1072,0,0,0,0,0,255,16,126,16,1
1077,0,0,0,0,0,255,4,150,20,1
1082,0,0,0,0,0,255,6,114,6,1
1087,0,0,0,0,0,255,23,279,23,1
1088,0,0,0,0,0,255,4,239,4,1
1092,0,0,0,0,0,255,20,277,20,1
1093,0,28,0,3,0,164,92,92,92,1
1099,0,0,0,0,0,255,18,123,18,1
1104,0,0,0,0,0,255,6,273,6,1
1110,0,1032,0,0,0,255,126,511,511,1
1112,0,0,0,0,0,255,8,171,8,1
1114,0,1032,0,0,0,255,166,511,511,1
1116,0,0,0,0,0,255,4,26,4,1
1117,0,0,0,0,0,255,72,36,12,1
1121,0,0,0,0,0,255,13,149,20,1
1131,0,0,0,0,0,255,7,167,20,1
1134,0,0,0,0,0,255,8,260,7,1
1135,0,0,0,0,0,255,17,237,18,1
1138,0,0,0,0,0,255,2,115,2,1
1141,0,0,0,0,0,255,9,288,11,1
1142,0,564,0,0,0,1,1,1,1,1
1145,0,0,0,0,0,255,15,275,18,1
1147,0,0,0,0,0,255,1,239,5,1
1148,0,0,0,0,0,255,3,285,13,1
1149,0,0,0,0,0,255,10,111,10,1
1150,0,0,0,0,0,255,19,239,19,1
1153,0,0,0,0,0,255,4,288,8,1
1154,0,0,0,0,0,255,20,150,20,1
1157,0,0,0,0,0,255,12,150,20,1
1158,0,28,0,3,0,255,143,43,43,1
1159,0,0,0,0,0,255,15,272,15,1
1161,0,0,0,0,0,255,22,269,22,1
1162,0,0,0,0,0,255,5,86,5,1
1163,0,0,0,0,0,255,6,189,16,1
1165,0,0,0,0,0,255,63,29,7,1
1167,0,0,0,0,0,255,1,253,1,1
1169,0,0,0,0,0,255,7,147,18,1
1170,0,1032,0,0,0,116,22,511,511,1
1176,0,1032,0,0,0,255,255,435,435,1
1179,0,0,0,0,0,255,19,115,2,1
1181,0,0,0,0,0,255,14,226,14,1
1182,0,0,0,0,0,255,8,107,25,1
1183,0,0,0,0,0,255,16,276,16,1
1184,0,520,0,0,0,191,191,441,441,1
1189,0,0,0,0,0,255,11,281,11,1
1190,0,0,0,0,0,255,19,242,19,1
1194,0,0,0,0,0,255,5,257,5,1
1200,0,0,0,0,0,255,13,230,11,1
1201,0,0,0,0,0,255,2,281,16,1
1208,0,0,0,0,0,255,15,289,17,1
1210,0,0,0,0,0,255,20,196,17,1
1212,0,0,0,0,0,255,10,247,10,1
1214,0,0,0,0,0,255,2,170,2,1
1215,0,0,0,0,0,255,16,141,16,1
1219,0,0,0,0,0,255,57,71,17,1
1222,0,0,0,0,0,255,10,266,10,1
1223,0,520,0,0,0,247,247,446,446,1
1224,0,0,0,0,0,255,1,271,20,1
1226,0,0,0,0,0,255,67,19,8,1
1233,0,0,0,0,0,255,22,28,22,1
1235,0,0,0,0,0,255,1,133,3,1
1237,0,0,0,0,0,255,6,217,5,1
1244,0,0,0,0,0,255,14,197,14,1
1249,0,0,0,0,0,255,14,110,18,1
1253,0,0,0,0,0,255,5,123,13,1
1256,0,0,0,0,0,255,15,112,15,1
1257,0,0,0,0,0,255,6,144,15,1
1258,0,0,0,0,0,255,3,209,3,1
1261,0,0,0,0,0,255,18,19,6,1
1262,0,0,0,0,0,255,64,37,6,1
1263,0,1480,0,1,0,255,12,11,11,1
1265,0,0,0,0,0,255,11,181,11,1
1266,0,28,0,3,0,255,98,99,98,1
1268,0,0,0,0,0,255,10,23,9,1
1270,0,0,0,0,0,255,2,230,2,1
1271,0,0,0,0,0,255,9,114,9,1
1272,0,0,0,0,0,255,1,254,1,1
1277,0,0,0,0,0,255,19,135,19,1
1278,0,0,0,0,0,255,27,280,12,1
1285,0,0,0,0,0,255,29,123,10,1
1288,0,0,0,0,0,255,7,199,7,1
1290,0,0,0,0,0,255,6,151,6,1
1292,0,0,0,0,0,255,17,144,14,1
1294,0,0,0,0,0,255,9,117,9,1
1297,0,28,0,3,0,237,34,34,34,1
1300,0,0,0,0,0,255,14,256,14,1
1302,0,0,0,0,0,215,4,257,4,1
1305,0,0,0,0,0,255,5,232,5,1
1307,0,0,0,0,0,255,22,112,2,1
1308,0,0,0,0,0,27,4,181,4,1
1311,0,0,0,0,0,140,18,280,18,1
1312,0,0,0,0,0,255,14,133,14,1
1319,0,0,0,0,0,255,5,276,5,1
1320,0,0,0,0,0,255,1,204,1,1
1321,0,0,0,0,0,255,15,46,15,1
1323,0,0,0,0,0,255,9,260,12,1
1324,0,0,0,0,0,255,17,213,4,1
1326,0,0,0,0,0,255,8,114,8,1
1328,0,0,0,0,0,255,19,111,19,1
1329,0,0,0,0,0,205,5,98,5,1
1331,0,0,0,0,0,255,1,89,1,1
1342,0,0,0,0,0,255,2,103,13,1
1343,0,0,0,0,0,255,7,104,7,1
1347,0,0,0,0,0,255,3,236,3,1
1353,0,0,0,0,0,255,8,247,8,1
1354,0,0,0,0,0,255,16,234,16,1
1357,0,0,0,0,0,255,13,81,13,1
1360,0,0,0,0,0,255,19,140,19,1
1361,0,520,0,0,0,255,255,52,52,1
1362,0,0,0,0,0,255,13,102,13,1
1366,0,0,0,0,0,255,29,128,10,1
1367,0,0,0,0,0,255,7,215,7,1
1375,0,0,0,0,0,255,11,75,11,1
1378,0,520,0,0,0,255,255,391,391,1
1379,0,0,0,0,0,255,1,278,1,1
1381,0,1032,0,0,0,255,255,84,84,1
1384,0,0,0,0,0,255,12,181,14,1
1385,0,0,0,0,0,255,19,149,19,1
1386,0,0,0,0,0,255,3,105,15,1
1389,0,0,0,0,0,255,5,71,5,1
1393,0,0,0,0,0,163,10,138,10,1
1395,0,0,0,0,0,255,11,108,11,1
1405,0,0,0,0,0,255,27,14,7,1
1410,0,0,0,0,0,255,12,123,14,1
1411,0,0,0,0,0,255,14,226,17,1
1414,0,0,0,0,0,255,5,173,5,1
1415,0,0,0,0,0,255,10,15,4,1
1417,0,0,0,0,0,255,7,246,7,1
1419,0,54540,8314,0,0,175,175,5,5,1
1423,0,28,0,3,0,89,17,17,17,1
1424,0,28,0,3,0,255,42,142,42,1
1425,0,0,0,0,0,255,1,112,10,1
1426,0,0,0,0,0,255,3,103,3,1
1429,0,0,0,0,0,255,17,249,17,1
1430,0,0,0,0,0,255,3,140,3,1
1431,0,0,0,0,0,255,20,163,20,1
1432,0,1032,0,0,0,255,6,510,510,1
1433,0,0,0,0,0,255,20,296,20,1
1434,0,0,0,0,0,255,3,87,3,1
1435,0,0,0,0,0,255,1,234,10,1
1436,0,0,0,0,0,255,8,142,7,1
1438,0,0,0,0,0,255,6,125,6,1
1440,0,0,0,0,0,255,2,204,2,1
1441,0,0,0,0,0,255,11,140,11,1
1442,0,0,0,0,0,255,18,264,18,1
1443,0,520,0,0,0,255,255,358,358,1
1444,0,0,0,0,0,255,8,247,8,1
1447,0,0,0,0,0,255,9,274,9,1
1449,0,0,0,0,0,255,14,217,14,1
1452,0,1032,0,0,0,255,80,510,510,1
1457,0,0,0,0,0,255,12,142,12,1
1460,0,0,0,0,0,255,14,277,14,1
1463,0,0,0,0,0,255,9,248,9,1
1464,0,0,0,0,0,255,20,145,20,1
1467,0,28,0,3,0,255,81,81,81,1
1469,0,0,0,0,0,255,7,140,7,1
1470,0,0,0,0,0,255,2,168,2,1
1471,0,0,0,0,0,255,13,206,13,1
1473,0,0,0,0,0,255,6,110,6,1
1474,0,0,0,0,0,255,7,253,18,1
1475,0,520,0,0,0,255,255,239,239,1
1480,0,0,0,0,0,255,7,133,7,1
1481,0,54540,8314,0,0,80,80,4,4,1
1483,0,0,0,0,0,255,5,125,5,1
1485,0,0,0,0,0,255,8,78,20,1
1486,0,0,0,0,0,255,18,236,18,1
1488,0,0,0,0,0,255,5,113,5,1
1494,0,0,0,0,0,255,2,285,5,1
1496,0,520,0,0,0,255,255,127,127,1
1497,0,0,0,0,0,255,19,117,5,1
1498,0,0,0,0,0,255,9,275,9,1
1508,0,0,0,0,0,255,4,104,14,1
1511,0,0,0,0,0,255,14,281,14,1
1513,0,0,0,0,0,255,2,254,2,1
1520,0,0,0,0,0,255,16,115,5,1
1522,0,0,0,0,0,255,8,260,8,1
1523,0,0,0,0,0,255,7,181,7,1
1524,0,0,0,0,0,255,1,147,15,1
1529,0,0,0,0,0,255,12,260,12,1
1532,0,0,0,0,0,255,5,298,5,1
1533,0,0,0,0,0,255,29,140,12,1
1534,0,0,0,0,0,255,3,205,3,1
1536,0,0,0,0,0,255,14,271,14,1
1537,0,0,0,0,0,255,12,174,12,1
1539,0,54540,8314,0,0,197,197,4,6,1
1542,0,54540,8314,0,0,235,235,5,5,1
1543,0,0,0,0,0,255,20,255,20,1
1545,0,0,0,0,0,255,19,87,19,1
1546,0,0,0,0,0,255,2,300,17,1
1547,0,0,0,0,0,115,4,113,4,1
1548,0,0,0,0,0,255,20,185,20,1
1554,0,0,0,0,0,255,42,9,3,1
1559,0,0,0,0,0,255,19,244,10,1
1562,0,0,0,0,0,255,3,126,4,1
1564,0,0,0,0,0,255,14,228,14,1
1566,0,0,0,0,0,255,2,191,14,1
1575,0,0,0,0,0,255,37,135,18,1
1580,0,0,0,0,0,255,17,198,17,1
1581,0,0,0,0,0,255,8,260,8,1
1586,0,0,0,0,0,255,20,42,20,1
1587,0,0,0,0,0,255,5,210,5,1
1591,0,0,0,0,0,255,10,185,20,1
1594,0,0,0,0,0,255,8,119,8,1
1597,0,0,0,0,0,255,18,90,1,1
1598,0,0,0,0,0,153,10,101,10,1
1600,0,0,0,0,0,255,17,141,17,1
1601,0,0,0,0,0,255,3,229,3,1
